ANH_A	-1	 -10
ANH_B	-1	 -10
ANH_C	-1	 -10
ANIK	2063	 ANIKA THERAPEUTICS INC
ANIP	2063	 ANI PHARMACEUTICALS INC
ANSS	3116	 ANSYS INC
ANTH	2063	 ANTHERA PHARMACEUTICALS INC
ANTM	2063	 ANTHEM INC
ANTX	-1	 -10
ANW	3094	 AEGEAN MARINE PETROLEUM NETWORK INC
ANY	3116	 SPHERE 3D CORP
AOBC	3105	 AMERICAN OUTDOOR BRANDS CORP
AOD	1031	 ABERDEEN TOTAL DYNAMIC DIVIDEND FUND
AOI	-1	 -10
AON	1032	 AON PLC
AOS	3106	 SMITH A O CORP
AOSL	3116	 ALPHA & OMEGA SEMICONDUCTOR LTD
AOXG	-1	 -10
AP	3106	 AMPCO PITTSBURGH CORP
APA	3094	 APACHE CORP
APAM	1031	 ARTISAN PARTNERS ASSET MANAGEMENT INC
APB	1031	 ASIA PACIFIC FUND INC
APC	3094	 ANADARKO PETROLEUM CORP
APD	1010	 AIR PROD&CHEM INC
APDN	3105	 APPLIED DNA SCIENCES INC
APDNW	-1	 -10
APEI	2053	 AMERICAN PUBLIC EDUCATION INC
APEN	2063	 APOLLO ENDOSURGERY INC
APF	1031	 MRG STLY ASIA-PACIFIC
APH	3116	 AMPHENOL CORP (NEW) CL-A
APHB	2063	 AMPLIPHI BIOSCIENCES CORP
APLE	1042	 APPLE HOSPITALITY REIT INC COM NEW (VA)
APLP	-1	 -10
APLS	2063	 APELLIS PHARMACEUTICALS INC
APO	1031	 APOLLO GLOBAL MANAGEMENT LLC
APO_A	-1	 -10
APOG	1010	 APOGEE ENTERPRISES INC
APOP	2063	 CELLECT BIOTECHNOLOGY LTD.
APOPW	-1	 -10
APPF	3116	 APPFOLIO INC COM CL A
APPN	3116	 APPIAN CORP
APPS	3116	 DIGITAL TURBINE INC
APRI	-1	 -10
APRN	1021	 BLUE APRON HOLDINGS INC
APT	1010	 ALPHA PRO TECH LTD
APTI	3116	 APPTIO INC
APTO	2063	 APTOSE BIOSCIENCES INC
APTS	1042	 PREFERRED APARTMENT COMMUNITIES INC
APU	2074	 AMERIGAS PRTNRS LP UTS(RP COMM
APVO	2063	 APTEVO THERAPEUTICS INC COM WI
APWC	3116	 ASIA PACIFIC WIRE & CABLE CORP LTD
AQ	3116	 AQUANTIA CORP
AQB	2063	 AQUA BOUNTY TECHNOLOGIES INC
AQMS	3106	 AQUA METALS INC COM STK (DE)
